"Player_Name","Role_Desc","Player_team","Opposit_Team","is_manofThematch","pscore","City_Name"
"MC Henriques","Player","Sunrisers Hyderabad","Kings XI Punjab","0","0","Sunrisers Hyderabad"
"KV Sharma","Player","Sunrisers Hyderabad","Kings XI Punjab","0","0","Sunrisers Hyderabad"
"NV Ojha","Keeper","Sunrisers Hyderabad","Kings XI Punjab","0","0","Sunrisers Hyderabad"
"DA Warner","Captain","Sunrisers Hyderabad","Kings XI Punjab","1","3","Sunrisers Hyderabad"
"EJG Morgan","Player","Sunrisers Hyderabad","Kings XI Punjab","0","0","Sunrisers Hyderabad"
"Bipul Sharma","Player","Sunrisers Hyderabad","Kings XI Punjab","0","0","Sunrisers Hyderabad"
"B Kumar","Player","Sunrisers Hyderabad","Kings XI Punjab","0","0","Sunrisers Hyderabad"
"KL Rahul","Player","Sunrisers Hyderabad","Kings XI Punjab","0","0","Sunrisers Hyderabad"
"WP Saha","Keeper","Kings XI Punjab","Sunrisers Hyderabad","0","0","Sunrisers Hyderabad"
"M Vijay","Player","Kings XI Punjab","Sunrisers Hyderabad","0","0","Sunrisers Hyderabad"
"GJ Bailey","Captain","Kings XI Punjab","Sunrisers Hyderabad","0","3","Sunrisers Hyderabad"
"GJ Maxwell","Player","Kings XI Punjab","Sunrisers Hyderabad","0","0","Sunrisers Hyderabad"
"DA Miller","Player","Kings XI Punjab","Sunrisers Hyderabad","0","0","Sunrisers Hyderabad"
"Gurkeerat Singh","Player","Kings XI Punjab","Sunrisers Hyderabad","0","0","Sunrisers Hyderabad"
"M Vohra","Player","Kings XI Punjab","Sunrisers Hyderabad","0","0","Sunrisers Hyderabad"
"Sandeep Sharma","Player","Kings XI Punjab","Sunrisers Hyderabad","0","0","Sunrisers Hyderabad"
"AR Patel","Player","Kings XI Punjab","Sunrisers Hyderabad","0","0","Sunrisers Hyderabad"
"Anureet Singh","Player","Kings XI Punjab","Sunrisers Hyderabad","0","0","Sunrisers Hyderabad"
"BB McCullum","Player","Chennai Super Kings","Delhi Daredevils","0","0","Delhi Daredevils"
"MS Dhoni","CaptainKeeper","Chennai Super Kings","Delhi Daredevils","0","0","Delhi Daredevils"
"SK Raina","Player","Chennai Super Kings","Delhi Daredevils","0","0","Delhi Daredevils"
"RA Jadeja","Player","Chennai Super Kings","Delhi Daredevils","0","0","Delhi Daredevils"
"DJ Bravo","Player","Chennai Super Kings","Delhi Daredevils","0","0","Delhi Daredevils"
"DR Smith","Player","Chennai Super Kings","Delhi Daredevils","0","0","Delhi Daredevils"
"R Ashwin","Player","Chennai Super Kings","Delhi Daredevils","0","0","Delhi Daredevils"
"F du Plessis","Player","Chennai Super Kings","Delhi Daredevils","0","0","Delhi Daredevils"
"P Negi","Player","Chennai Super Kings","Delhi Daredevils","0","0","Delhi Daredevils"
"IC Pandey","Player","Chennai Super Kings","Delhi Daredevils","0","0","Delhi Daredevils"
"MM Sharma","Player","Chennai Super Kings","Delhi Daredevils","0","0","Delhi Daredevils"
"Z Khan","Player","Delhi Daredevils","Chennai Super Kings","1","0","Delhi Daredevils"
"Yuvraj Singh","Player","Delhi Daredevils","Chennai Super Kings","0","0","Delhi Daredevils"
"SS Tiwary","Player","Delhi Daredevils","Chennai Super Kings","0","0","Delhi Daredevils"
"JA Morkel","Player","Delhi Daredevils","Chennai Super Kings","0","0","Delhi Daredevils"
"JP Duminy","Captain","Delhi Daredevils","Chennai Super Kings","0","3","Delhi Daredevils"
"KM Jadhav","Player","Delhi Daredevils","Chennai Super Kings","0","0","Delhi Daredevils"
"S Nadeem","Player","Delhi Daredevils","Chennai Super Kings","0","0","Delhi Daredevils"
"Q de Kock","Keeper","Delhi Daredevils","Chennai Super Kings","0","0","Delhi Daredevils"
"SS Iyer","Player","Delhi Daredevils","Chennai Super Kings","0","0","Delhi Daredevils"
"V Kohli","Captain","Royal Challengers Bangalore","Kings XI Punjab","0","3","Kings XI Punjab"
"KD Karthik","Keeper","Royal Challengers Bangalore","Kings XI Punjab","0","0","Kings XI Punjab"
"AB de Villiers","Player","Royal Challengers Bangalore","Kings XI Punjab","0","0","Kings XI Punjab"
"CH Gayle","Player","Royal Challengers Bangalore","Kings XI Punjab","0","0","Kings XI Punjab"
"Mandeep Singh","Player","Royal Challengers Bangalore","Kings XI Punjab","0","0","Kings XI Punjab"
"S Aravind","Player","Royal Challengers Bangalore","Kings XI Punjab","0","0","Kings XI Punjab"
"HV Patel","Player","Royal Challengers Bangalore","Kings XI Punjab","0","0","Kings XI Punjab"
"MA Starc","Player","Royal Challengers Bangalore","Kings XI Punjab","0","0","Kings XI Punjab"
"YS Chahal","Player","Royal Challengers Bangalore","Kings XI Punjab","0","0","Kings XI Punjab"
"WP Saha","Keeper","Kings XI Punjab","Royal Challengers Bangalore","0","1","Kings XI Punjab"
"GJ Bailey","Captain","Kings XI Punjab","Royal Challengers Bangalore","0","4","Kings XI Punjab"
"GJ Maxwell","Player","Kings XI Punjab","Royal Challengers Bangalore","0","1","Kings XI Punjab"
"DA Miller","Player","Kings XI Punjab","Royal Challengers Bangalore","0","1","Kings XI Punjab"
"Gurkeerat Singh","Player","Kings XI Punjab","Royal Challengers Bangalore","0","1","Kings XI Punjab"
"M Vohra","Player","Kings XI Punjab","Royal Challengers Bangalore","0","1","Kings XI Punjab"
"R Dhawan","Player","Kings XI Punjab","Royal Challengers Bangalore","0","1","Kings XI Punjab"
"Sandeep Sharma","Player","Kings XI Punjab","Royal Challengers Bangalore","0","1","Kings XI Punjab"
"AR Patel","Player","Kings XI Punjab","Royal Challengers Bangalore","1","1","Kings XI Punjab"
"Anureet Singh","Player","Kings XI Punjab","Royal Challengers Bangalore","0","1","Kings XI Punjab"
"PA Patel","Keeper","Mumbai Indians","Kolkata Knight Riders","0","1","Mumbai Indians"
"Harbhajan Singh","Player","Mumbai Indians","Kolkata Knight Riders","0","1","Mumbai Indians"
"RG Sharma","Captain","Mumbai Indians","Kolkata Knight Riders","0","4","Mumbai Indians"
"R Vinay Kumar","Player","Mumbai Indians","Kolkata Knight Riders","0","1","Mumbai Indians"
"SL Malinga","Player","Mumbai Indians","Kolkata Knight Riders","0","1","Mumbai Indians"
"AT Rayudu","Player","Mumbai Indians","Kolkata Knight Riders","0","1","Mumbai Indians"
"KA Pollard","Player","Mumbai Indians","Kolkata Knight Riders","0","1","Mumbai Indians"
"LMP Simmons","Player","Mumbai Indians","Kolkata Knight Riders","0","1","Mumbai Indians"
"HH Pandya","Player","Mumbai Indians","Kolkata Knight Riders","1","1","Mumbai Indians"
"MJ McClenaghan","Player","Mumbai Indians","Kolkata Knight Riders","0","1","Mumbai Indians"
"YK Pathan","Player","Kolkata Knight Riders","Mumbai Indians","0","0","Mumbai Indians"
"G Gambhir","Captain","Kolkata Knight Riders","Mumbai Indians","0","3","Mumbai Indians"
"RV Uthappa","Keeper","Kolkata Knight Riders","Mumbai Indians","0","0","Mumbai Indians"
"PP Chawla","Player","Kolkata Knight Riders","Mumbai Indians","0","0","Mumbai Indians"
"MK Pandey","Player","Kolkata Knight Riders","Mumbai Indians","0","0","Mumbai Indians"
"M Morkel","Player","Kolkata Knight Riders","Mumbai Indians","0","0","Mumbai Indians"
"UT Yadav","Player","Kolkata Knight Riders","Mumbai Indians","0","0","Mumbai Indians"
"Shakib Al Hasan","Player","Kolkata Knight Riders","Mumbai Indians","0","0","Mumbai Indians"
"SA Yadav","Player","Kolkata Knight Riders","Mumbai Indians","0","0","Mumbai Indians"
"SP Narine","Player","Kolkata Knight Riders","Mumbai Indians","0","0","Mumbai Indians"
"AD Russell","Player","Kolkata Knight Riders","Mumbai Indians","0","0","Mumbai Indians"
"V Kohli","Captain","Royal Challengers Bangalore","Sunrisers Hyderabad","1","3","Sunrisers Hyderabad"
"KD Karthik","Keeper","Royal Challengers Bangalore","Sunrisers Hyderabad","0","0","Sunrisers Hyderabad"
"AB Dinda","Player","Royal Challengers Bangalore","Sunrisers Hyderabad","0","0","Sunrisers Hyderabad"
"AB de Villiers","Player","Royal Challengers Bangalore","Sunrisers Hyderabad","0","0","Sunrisers Hyderabad"
"CH Gayle","Player","Royal Challengers Bangalore","Sunrisers Hyderabad","0","0","Sunrisers Hyderabad"
"Mandeep Singh","Player","Royal Challengers Bangalore","Sunrisers Hyderabad","0","0","Sunrisers Hyderabad"
"HV Patel","Player","Royal Challengers Bangalore","Sunrisers Hyderabad","0","0","Sunrisers Hyderabad"
"MA Starc","Player","Royal Challengers Bangalore","Sunrisers Hyderabad","0","0","Sunrisers Hyderabad"
"YS Chahal","Player","Royal Challengers Bangalore","Sunrisers Hyderabad","0","0","Sunrisers Hyderabad"
"P Kumar","Player","Sunrisers Hyderabad","Royal Challengers Bangalore","0","0","Sunrisers Hyderabad"
