Player_Name,Role_Desc,Player_team,Opposit_Team,is_manofThematch,pscore,City_Name,
TM Dilshan,Player,Royal Challengers Bangalore,Pune Warriors,FALSE,1,Royal Challengers Bangalore,
CH Gayle,Player,Royal Challengers Bangalore,Pune Warriors,TRUE,1,Royal Challengers Bangalore,
DL Vettori,Captain,Royal Challengers Bangalore,Pune Warriors,FALSE,4,Royal Challengers Bangalore,
KP Appanna,Player,Royal Challengers Bangalore,Pune Warriors,FALSE,1,Royal Challengers Bangalore,
MA Agarwal,Player,Royal Challengers Bangalore,Pune Warriors,FALSE,1,Royal Challengers Bangalore,
HV Patel,Player,Royal Challengers Bangalore,Pune Warriors,FALSE,1,Royal Challengers Bangalore,
SC Ganguly,Captain,Pune Warriors,Royal Challengers Bangalore,FALSE,3,Royal Challengers Bangalore,
RV Uthappa,Keeper,Pune Warriors,Royal Challengers Bangalore,FALSE,0,Royal Challengers Bangalore,
A Nehra,Player,Pune Warriors,Royal Challengers Bangalore,FALSE,0,Royal Challengers Bangalore,
AB Dinda,Player,Pune Warriors,Royal Challengers Bangalore,FALSE,0,Royal Challengers Bangalore,
JD Ryder,Player,Pune Warriors,Royal Challengers Bangalore,FALSE,0,Royal Challengers Bangalore,
M Manhas,Player,Pune Warriors,Royal Challengers Bangalore,FALSE,0,Royal Challengers Bangalore,
AD Mathews,Player,Pune Warriors,Royal Challengers Bangalore,FALSE,0,Royal Challengers Bangalore,
R Sharma,Player,Pune Warriors,Royal Challengers Bangalore,FALSE,0,Royal Challengers Bangalore,
B Kumar,Player,Pune Warriors,Royal Challengers Bangalore,FALSE,0,Royal Challengers Bangalore,
SPD Smith,Player,Pune Warriors,Royal Challengers Bangalore,FALSE,0,Royal Challengers Bangalore,
MN Samuels,Player,Pune Warriors,Royal Challengers Bangalore,FALSE,0,Royal Challengers Bangalore,
DJ Hussey,Player,Kings XI Punjab,Kolkata Knight Riders,FALSE,1,Kings XI Punjab,
P Kumar,Player,Kings XI Punjab,Kolkata Knight Riders,FALSE,1,Kings XI Punjab,
AC Gilchrist,CaptainKeeper,Kings XI Punjab,Kolkata Knight Riders,FALSE,1,Kings XI Punjab,
PP Chawla,Player,Kings XI Punjab,Kolkata Knight Riders,FALSE,1,Kings XI Punjab,
SE Marsh,Player,Kings XI Punjab,Kolkata Knight Riders,FALSE,1,Kings XI Punjab,
AD Mascarenhas,Player,Kings XI Punjab,Kolkata Knight Riders,FALSE,1,Kings XI Punjab,
PC Valthaty,Player,Kings XI Punjab,Kolkata Knight Riders,FALSE,1,Kings XI Punjab,
P Dogra,Player,Kings XI Punjab,Kolkata Knight Riders,FALSE,1,Kings XI Punjab,
Mandeep Singh,Player,Kings XI Punjab,Kolkata Knight Riders,FALSE,1,Kings XI Punjab,
Harmeet Singh,Player,Kings XI Punjab,Kolkata Knight Riders,FALSE,1,Kings XI Punjab,
BA Bhatt,Player,Kings XI Punjab,Kolkata Knight Riders,FALSE,1,Kings XI Punjab,
BB McCullum,Player,Kolkata Knight Riders,Kings XI Punjab,FALSE,0,Kings XI Punjab,
JH Kallis,Player,Kolkata Knight Riders,Kings XI Punjab,FALSE,0,Kings XI Punjab,
